id,cohort,freq,level,mag,phase
WT-1,WT (mixed C57BL/6:FVB),8.5,70,22.8957135382067,-24.24228581460581
WT-1,WT (mixed C57BL/6:FVB),8.5,80,32.8449683037428,-25.74583807827635
WT-1,WT (mixed C57BL/6:FVB),9,10,0.750101668567359,-26.8342421540842
WT-1,WT (mixed C57BL/6:FVB),9,20,1.36479591194165,-25.16681270682648
WT-1,WT (mixed C57BL/6:FVB),9,30,3.13627918956646,-25.191867677158545
WT-1,WT (mixed C57BL/6:FVB),9,40,5.37646347503101,-25.042591951451843
WT-1,WT (mixed C57BL/6:FVB),9,50,9.72073936989007,-24.972085731324768
WT-1,WT (mixed C57BL/6:FVB),9,60,14.0770255376218,-25.128078771729832
WT-1,WT (mixed C57BL/6:FVB),9,70,16.6890124236863,-26.12044904922166
WT-1,WT (mixed C57BL/6:FVB),9,80,21.7687803716215,-27.82164542035223
WT-1,WT (mixed C57BL/6:FVB),9.5,10,0.810663964453332,-29.066595486418343
WT-1,WT (mixed C57BL/6:FVB),9.5,20,1.9995032037632,-28.59025746343546
WT-1,WT (mixed C57BL/6:FVB),9.5,30,2.93924540848542,-28.10697417124032
WT-1,WT (mixed C57BL/6:FVB),9.5,40,4.82293286205035,-27.69114137450078
WT-1,WT (mixed C57BL/6:FVB),9.5,50,7.44491281697164,-27.28918901075492
WT-1,WT (mixed C57BL/6:FVB),9.5,60,10.9933986916336,-27.413150563042738
WT-1,WT (mixed C57BL/6:FVB),9.5,70,11.9534778020716,-28.57913545106378
WT-1,WT (mixed C57BL/6:FVB),9.5,80,15.1734389757607,-30.210931028642516
WT-1,WT (mixed C57BL/6:FVB),10,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),10,20,1.21895596930838,-31.68648181161962
WT-1,WT (mixed C57BL/6:FVB),10,30,2.07969002438036,-31.05843392494043
WT-1,WT (mixed C57BL/6:FVB),10,40,2.81820984801403,-30.405801307917113
WT-1,WT (mixed C57BL/6:FVB),10,50,4.68562292948267,-29.942541665600483
WT-1,WT (mixed C57BL/6:FVB),10,60,6.36492989295335,-30.001837193343537
WT-1,WT (mixed C57BL/6:FVB),10,70,6.92083844975934,-31.234093759047163
WT-1,WT (mixed C57BL/6:FVB),10,80,7.47731599834181,-32.68382064525501
WT-1,WT (mixed C57BL/6:FVB),10.5,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),10.5,20,1.0679321591999,-35.942053660384715
WT-1,WT (mixed C57BL/6:FVB),10.5,30,1.09706379361636,-35.25532222113397
WT-1,WT (mixed C57BL/6:FVB),10.5,40,1.25206576963957,-34.16417619647868
WT-1,WT (mixed C57BL/6:FVB),10.5,50,1.69633108338615,-33.143755492703065
WT-1,WT (mixed C57BL/6:FVB),10.5,60,3.07410720341413,-32.74179740210146
WT-1,WT (mixed C57BL/6:FVB),10.5,70,2.62788892550055,-34.19605696798758
WT-1,WT (mixed C57BL/6:FVB),10.5,80,3.49686885836001,-35.72271476860146
WT-1,WT (mixed C57BL/6:FVB),11,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),11,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),11,30,0.886936820154413,-29.925898337607684
WT-1,WT (mixed C57BL/6:FVB),11,40,0.883184092586044,-29.30772533485188
WT-1,WT (mixed C57BL/6:FVB),11,50,NA,NA
WT-1,WT (mixed C57BL/6:FVB),11,60,1.47061025232292,-25.566694795561695
WT-1,WT (mixed C57BL/6:FVB),11,70,1.59352627148265,-28.24455148110581
WT-1,WT (mixed C57BL/6:FVB),11,80,2.53062936236746,-31.15480495833041
WT-1,WT (mixed C57BL/6:FVB),11.5,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),11.5,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),11.5,30,NA,NA
WT-1,WT (mixed C57BL/6:FVB),11.5,40,0.873158063009704,-34.17671738983513
WT-1,WT (mixed C57BL/6:FVB),11.5,50,NA,NA
WT-1,WT (mixed C57BL/6:FVB),11.5,60,0.989330929425565,-33.18575205048035
WT-1,WT (mixed C57BL/6:FVB),11.5,70,0.91460958638741,-36.036463345929775
WT-1,WT (mixed C57BL/6:FVB),11.5,80,1.07287359121404,-35.39655678028735
WT-1,WT (mixed C57BL/6:FVB),12,10,NA,NA
